"Region","Year","Enrollment Rate, %"
"Arab World",2010-01-01,85.99
"Central Europe and the Baltics",2010-01-01,95.9
"Early-demographic dividend",2010-01-01,92.99
"East Asia & Pacific",2010-01-01,96.4
"East Asia & Pacific (excluding high income)",2010-01-01,96.2
"East Asia & Pacific (IDA & IBRD countries)",2010-01-01,96.2
"Euro area",2010-01-01,98.62
"Europe & Central Asia",2010-01-01,96.72
"Europe & Central Asia (excluding high income)",2010-01-01,94.8
"Europe & Central Asia (IDA & IBRD countries)",2010-01-01,94.79
"European Union",2010-01-01,98.07
"Fragile and conflict affected situations",2010-01-01,73.89
"Heavily indebted poor countries (HIPC)",2010-01-01,76.41
"High income",2010-01-01,96.98
"IBRD only",2010-01-01,96.06
"IDA & IBRD total",2010-01-01,89.9
"IDA blend",2010-01-01,73.61
"IDA only",2010-01-01,79.63
"IDA total",2010-01-01,77.76
"Late-demographic dividend",2010-01-01,96.63
"Latin America & Caribbean",2010-01-01,96.23
"Latin America & Caribbean (excluding high income)",2010-01-01,96.12
"Latin America & the Caribbean (IDA & IBRD countries)",2010-01-01,96.23
"Least developed countries: UN classification",2010-01-01,79.39
"Low & middle income",2010-01-01,89.82
"Low income",2010-01-01,77.98
"Lower middle income",2010-01-01,89.67
"Middle East & North Africa",2010-01-01,95.39
"Middle East & North Africa (excluding high income)",2010-01-01,95.23
"Middle East & North Africa (IDA & IBRD countries)",2010-01-01,95.3
"Middle income",2010-01-01,92.21
"North America",2010-01-01,94.86
"OECD members",2010-01-01,97.02
"Other small states",2010-01-01,82.37
"Pacific island small states",2010-01-01,92.11
"Post-demographic dividend",2010-01-01,96.91
"Pre-demographic dividend",2010-01-01,73.95
"Small states",2010-01-01,85.19
"South Asia",2010-01-01,92.4
"South Asia (IDA & IBRD)",2010-01-01,92.4
"Sub-Saharan Africa",2010-01-01,75.4
"Sub-Saharan Africa (excluding high income)",2010-01-01,75.4
"Sub-Saharan Africa (IDA & IBRD countries)",2010-01-01,75.4
"Upper middle income",2010-01-01,96.27
"World",2010-01-01,90.67
"Arab World",2011-01-01,85.32
"Central Europe and the Baltics",2011-01-01,95.59
"Early-demographic dividend",2011-01-01,92.9
"East Asia & Pacific",2011-01-01,96.59
"East Asia & Pacific (excluding high income)",2011-01-01,96.42
"East Asia & Pacific (IDA & IBRD countries)",2011-01-01,96.43
"Euro area",2011-01-01,98.74
"Europe & Central Asia",2011-01-01,96.84
"Europe & Central Asia (excluding high income)",2011-01-01,94.97
"Europe & Central Asia (IDA & IBRD countries)",2011-01-01,94.97
"European Union",2011-01-01,98.12
"Fragile and conflict affected situations",2011-01-01,74.73
"Heavily indebted poor countries (HIPC)",2011-01-01,77.66
"High income",2011-01-01,96.6
"IBRD only",2011-01-01,95.85
"IDA & IBRD total",2011-01-01,90.03
"IDA blend",2011-01-01,74.23
"IDA only",2011-01-01,80.78
"IDA total",2011-01-01,78.75
"Late-demographic dividend",2011-01-01,96.68
"Latin America & Caribbean",2011-01-01,96.27
"Latin America & Caribbean (excluding high income)",2011-01-01,96.22
"Latin America & the Caribbean (IDA & IBRD countries)",2011-01-01,96.29
"Least developed countries: UN classification",2011-01-01,80.47
"Low & middle income",2011-01-01,89.96
"Low income",2011-01-01,79.18
"Lower middle income",2011-01-01,89.66
"Middle East & North Africa",2011-01-01,94.99
"Middle East & North Africa (excluding high income)",2011-01-01,94.78
"Middle East & North Africa (IDA & IBRD countries)",2011-01-01,94.83
"Middle income",2011-01-01,92.17
